Planet;Id;TextStraDllId;New game sector;Rescaled X;Rescaled Y;Core/Rim;PictureId;EncyclopediaDescription
N'Zoth;146;12132;Deep Core;372;423;Core;125;"N'Zoth (K-10, Deep Core, 1 hyperlane)
Geology: Planet, Arid, Plains, Deserts
Species: Yevetha (native)
Economy: -
History: During the reign of the Galactic Republic and the events of the Clone Wars, N'zoth was situated perpetually in Republic space. Following the deaths of the Separatist Council at Mustafar and the surrender of the CIS, N'zoth automatically fell under the Galactic Empire's control. During the reign of the Galactic Empire, N'zoth was the site of Black Fifteen, an Imperial orbital shipyard, and its subsequent overtaking by Yevethan insurgents, most of whom had worked the shipyard prior to the revolt.
Sources: Atlas"
Rakata Prime;147;12054;Deep Core;338;460;Rim;139;"Rakata Prime (G-11, Deep Core, 0 hyperlane)
Geology: Planet, Tropical, Oceans, Tropical Islands, Rocky Outcroppings
Species: Rakata (native)
Economy: Slaves, Treasures, Warships, Tech, Manufactured Goods
History: Rakata Prime, also known as Lehon, was the homeworld of the long-extinct Rakata species, who were rumored to be the first to develop hyperspace travel. Rakata Prime is one of the few navigable worlds that were found by rare exploratory missions, and the planet could be reached by cautiously stepped hyperspace jumps.
Sources: KOTOR 1, KOTOR 2, Atlas
"
Tython;148;12056;Deep Core;393;439;Rim;182;"Tython (L-10, Deep Core, 0 hyperlane)
Geology: Planet, Temperate, Forests, Grasslands, Mountains
Species: Flesh Raider (native), ...
Economy: -
History: Shrouded in myth, Tython was one of the oldest settlements of the Jedi Order. Tython was among the worlds Jedi scholars believed may have been home to the first Jedi temple. However the world was abandoned when the ever changing hyperlanes in the deep core drifted away from the planet.
Sources: The Mandalorian, SWTOR
"
Wellspring of Life;149;12057;Deep Core;389;458;Rim;188;"Wellspring of Life (L-11, Deep Core, 0 hyperlane)
Geology: Planet, Temperate, Deserts, Jungles
Species: Midi-chlorian (native) 
Economy: -
History: The Wellspring of Life, also known simply as the Force planet, was one of many such nexuses of power that manifested in the depths of the galaxy. Jedi Master Qui-Gon Jinn was said to have discovered the legend of this world shortly before his death. The Wellspring of Life was eventually discovered by Yoda in the heart of the galaxy. Enveloped within a nebula of golden gas, the Wellspring manifested itself as a planet of cracked rock. 
Sources: Clone Wars
"
Boz Pity;150;11776;Hutt Space;779;371;Rim;20;"Boz Pity (S-9, Hutt Space, 2 hyperlanes)
Geology: Planet, Canyons, Deserts, Mountains, Plains
Species: Gargantelle (native)
Economy: -
History: During the High Republic Era, it was considered a key member of the Galactic Republic, and received a sky-island with a representation of its environment at the Valo Republic Fair. By the time of the Clone Wars, Boz Pity was largely uninhabited. The planet was used as staging area by the CIS for raids against the Galactic republic.
Sources: Rebels, Atlas"
Eadu;151;12097;Hutt Space;827;404;Rim;53;"Eadu (U-10, Hutt Space, 2 hyperlanes)
Geology: Planet, Stormy, Rocky
Species: -
Economy: -
History: Eadu was little-known save for its rainfall and population of native nerf herders. Eadu was owned by Grand Moff Wilhuff Tarkin, and ceded to his eponymous Tarkin Initiative as part of the Death Star project. Galactic Empire established a secret high energy conversion laboratory within the remote mountaintops of Eadu's northern hemisphere.
Sources: Rogue One"
Formos;152;12098;Hutt Space;827;384;Rim;65;"Formos (T-10,Hutt Space, 4 hyperlanes)
Geology: Planet
Species: Many species (native)
Economy: -
History: Formos serves as a processing terminus for shipments of spice traveling out of the planet Kessel.
Sources: Atlas"
Honoghr;153;12099;Hutt Space;807;400;Rim;73;"Honoghr (T-10, Hutt Space, 1 hyperlane)
Geology: Planet, Temperate, Desert Plains, Rainforests
Species: Noghri (native), Rakata
Economy: Food, Medicine, Tech, Water, Assassins, Bodyguards
History: In 20 BBY, during the Clone Wars, Honoghr became an ecological disaster when, after a battle in orbit, a Lucrehulk-class Core Ship crashed to the surface. The Galactic Republic took great interest in the accident due to the Separatist ship's cargo: the toxin Trihexalophine1138. As the contaminant spread, it ravaged the planet and desiccated most of its flora. In exchange for the Galactic Empire working to restore the planet's ecosystem, the Noghri gave homage to Vader and pledged to serve him as assassins, the Death Commandos.
Sources: [legends], Atlas"
Kessel;154;12100;Hutt Space;803;381;Rim;92;"Kessel (T-10, Hutt Space, 2 hyperlanes)
Geology: Planet, Hot, Humid, Barren Spice Mines, Lush Sanctuaries
Species: Dwuni, Gigoran, Human, Pyke, Twi'lek, Wookie
Economy: Slaves, Coaxium, Kesselstone, Kessoline, Spice
History: For years, the Pykes dealt with spice mined from Kessel, using smugglers and freighter captains to deliver it to the crime families of Coruscant. The Galactic Empire also operated a mining operation, employing numerous slaves, including Wookiees, to harvest spice. In 10 BBY, the Pyke Syndicate Capo Quay Tolsite operated a coaxium mine on the planet which was manned by slave laborers. 
Sources: Solo, Clone Wars, Rebels, Battlefront 2, Atlas
"
Nal Hutta;155;12101;Hutt Space;778;448;Rim;118;"Nal Hutta (S-12, Hutt Space, 4 hyperlanes)
Geology: Planet, Hot, Humid, Swamps
Species: Hutt (native), ...
Economy: Contraband, Food, High Tech, Luxury, Spice, Tourism
History: Nal Hutta, which means Glorious Jewel in Huttese. The Hutt Clan was based off Nal Hutta. Once, Nal Hutta was a planet full of teeming cities. The world was changed during the Drengir crisis, with a Drengir infestation ruining the planet into the world of seething jungles that it would remain as for years to come. However, that new climate was enjoyable for Hutts. The infamous Jabba the Hutt was born in the system. 
Sources: Clone Wars, SWTOR, Atlas"
Nar Shaddaa;156;12102;Hutt Space;798;445;Rim;119;"Nar Shaddaa (S-12, Hutt Space, 4 hyperlanes)
Geology: Moon, Ecumenopolis
Species: Gank (native), Human, Hutt, Jablogian, Palliduvan, Zabrak, Besalisk, Pa'lowick
Economy: Contraband, Spice
History: Nar Shaddaa is the notorious smugler’s moon, orbiting Nal Hutta. It is home to a large criminal underworld dominated by bounty hunters and Hutt crime lords. Following the Great Jedi Purge, the Hutt crime lord Grakkus amassed a collection of Jedi relics including holocrons, lightsabers, statues, and a Jedi starfighter at his palace in Hutta Town.[11] Grakkus also made a living forcing captured Wookiees, lizard men, and pirates to fight in his gladiatorial arena against various wild beasts including the roggwart Kongo.
Sources: KOTOR 2, SWTOR, Atlas
"
Quesh;157;12103;Hutt Space;801;421;Rim;138;"Quesh (S-10, Hutt Space, 0 hyperlane)
Geology: Planet, Toxic
Species: -
Economy: Adrenals
History: Quesh is a world riddled with toxic waste within Hutt Space, due to a period of geological instability in the past dubbed the Quake.
Sources: SWTOR
"
Sleheyron;158;12104;Hutt Space;786;402;Rim;156;"Sleheyron (S-10, Hutt Space, 4 hyperlanes)
Geology: Planet, Urban, Volcanic
Species: Hutt, Rakata, ...
Economy: Tibanna Gas, Slaves, Fuel
History: Sleheyron was a planet located in Hutt Space. Controlled by the Hutt Clan, it was the homeworld of Hutt crime lord Ziro, who was covered in colorful tattoos indicating his connection to Sleheyron
Sources: KOTOR 1, KOTOR 2, Atlas
"
Toydaria;159;12105;Hutt Space;770;429;Rim;176;"Toydaria (R-11, Hutt Space, 2 hyperlanes)
Geology: Planet, Temperate, Forests, Mountains, Swamps
Species: Toydarian (native)
Economy: Consumables, Tech, Labor
History: In the last decades of the Galactic Republic, the neutral Mid Rim planet of Toydaria was governed by a monarchy. During the Clone Wars, a galactic war between the Republic and the Confederacy of Independent Systems, King Katuunko of Toydaria, who was the current monarch, refused to support either factions, therefore making his planet strategically interested by the two warring governments. Later on in the war, Separatist leader Count Dooku ordered his new assassin Savage Opress to capture King Katuunko alive, otherwise he would be severely punished. However, the mission went downhill after Jedi Master Obi-Wan Kenobi and Jedi Knight Anakin Skywalker intercepted Opress on Toydaria, resulting in him killing Katuunko out of rage.
Sources: Clone Wars, Rebels, Atlas
"
Chardaan;160;11824;Inner Rim;581;539;Core;28;"Chardaan (N-13, Inner Rim, 4 hyperlanes)
Geology: Planet
Species: Human
Economy: -
History: During the clone wars Chardaan was the headquarters of the Republic 16th sector army. 
Sources: -"
Daalang;161;12177;Inner Rim;637;511;Rim;39;"Daalang (Q-12, Inner Rim, 4 hyperlanes)
Geology: Planet
Species: Human
Economy: -
History: Daalang joined the Galactic Republic prior to the Indecta Era. During the Alsakan Conflicts, it supported Coruscant. During the Clone Wars, the CIS stationed an anti-orbital mass-driver cannon on the planet. The shields of the CIS base were destroyed by Lightning Squadron, clearing the path for the Star Destroyer Eliminator to attack the CIS base hidden in the nebula surrounding the body.
Sources: Atlas"
Denon;162;11826;Inner Rim;579;520;Core;46;"Denon (N-13,Inner Rim, 4 hyperlanes)
Geology: Planet, Temperate, Urban
Species: Human (native), Rakata (native)
Economy: -
History: Denon is an ancient, conservative world. Like Coruscant, the planet's surface is covered in a single massive city, which is second only to Coruscant in size and population. 
Sources: -"
Gamor;163;11907;Inner Rim;593;560;Core;66;"Gamor (O-14, Inner Rim, 4 hyperlanes)
Geology: Planet
Species: -
Economy: -
History: Gamor is a planet in the Expansion region of the Galaxy. 
Sources: -"
Makeb;164;12180;Inner Rim;636;531;Rim;101;"Makeb (Q-13, Inner Rim, 0 hyperlane)
Geology: Planet, Stone Pillars, Mesas, Plateaus
Species: Chagrian, Human, Twi'lek, Weequay, Zabrak, ...
Economy: Minerals, Isotope-5
History: Makeb was discovered during the Mandalorian Wars then invaded by the Hutt Cartel during the Galactic War. It is a major source of isotope-5, one of the rarest minerals in the galaxy.
Sources: [legends], SWTOR"
Manaan;165;11908;Inner Rim;595;485;Core;103;"Manaan (O-11, Inner Rim, 0 hyperlane)
Geology: Planet, Temperate, Oceans, Islands
Species: Selkath (native), Aqualish, Gamorrean, Gran, Human, Ithorian, Nikto, Rodian, Twi'lek, Rakata
Economy: Building Materials, Food, Tech, Clothing, Kolto, Seafood, Tourism
History: An ocean world in the inner rim. Manaan is the home of the Selkath species, who are dedicated to preserving their oceans. Manaan was once a very prominent world in the galaxy, as they were the sole producer of kolto, a rare material used for medical purposes. Though kolto would eventually be replaced by bacta, which eventually led to the republic losing interest in the neutral world. 
Sources: KOTOR 1, SWTOR"
Milagro;166;11909;Inner Rim;613;562;Core;106;"Milagro (O-14, Inner Rim, 4 hyperlanes) 
Geology: Planet, Slag
Species: Human
Economy: -
History: Milagro is a prosperous trade and manufacturing world ruled by its own noble houses, descendants of the first settlers of the planet.
Sources: -"
Mimban;167;11910;Inner Rim;603;505;Core;107;"Mimban (O-12, Inner Rim, 2 hyperlanes)
Geology: Planet, Humid, Mud fields, Rainforests, Swamps
Species: Greenie (native), Mimbanese (native), Coway (native), Human
Economy: Hyperbaride, Food, Industrial Equipment, Dolovite, Swamp Gas
History: Formally known as Circarpous V, Mimban is a swamp world in the expansion region. The world features deep hyperbaride mineral deposits, which has led to multiple conflicts between the natives and various mining companies who want to extract the planets resources. The first year of the Clone Wars, Mimban was invaded by the Confederacy of Independent Systems. The Mud Jumpers of the Grand Army of the Republic’s 224th Division armed and trained the Mimbanese Liberation Army, promising them freedom when the Separatist Droid Army was repelled. After the clone wars, the Galactic Empire sent the 224th division who had previously helped defend the world, to subjugate it and make the planets resources available to the empire.
Sources: The Clone Wars, Solo, Atlas
"
Pasaana;168;11912;Inner Rim;607;528;Core;133;"Pasaana (O-13, Inner Rim, 0 hyperlane)
Geology: Planet, Arid, Desert, Dunes, Shrubland, Mountains
Species: Aki-Aki (native)
Economy: -
History: Pasaana is a desert world in the expansion region. It is known for it’s festival of the ancestors. Native hunter-gatherers developed a language based on percussive stomp patterns, which later evolved into traditional dances of courting, aggression, and storytelling that continue to be performed in modern festivals. The hyperspace prospector Mari San Tekka, who Eye of the Nihil Marchion Ro used to locate unconventional Paths through hyperspace for the Nihil marauder group, discovered a route between Urber and Pasaana. San Tekka, believing Ro sold her Paths to the Galactic Republic, informed him of the route.
Sources: Episode 9
"
Vandor;169;11913;Inner Rim;633;556;Core;185;"Vandor (P-14, Inner Rim, 0 hyperlane)
Geology: Planet, Frigid, Mountains, Plains, Fast-flowing Rivers
Species: -
Economy: -
History: Vandor, also known as Vandor-1 or ID 53-80, is a cold frontier world in the mid rim. The planet was discovered by the republic scout service, later an ambitious settlement was established by the Ypsobay trading company. Unfortunately this initial settlement failed and most of the settlers left the world. The planet however remains sparsely inhabited.
Sources: Solo"
Agamar;170;12064;Mandalorian Space;533;192;Rim;2;"Agamar (M-5, Mandalorian Space, 4 hyperlanes)
Geology: Planet, Cold, Rocky, Forests
Species: Human
Economy: -
History: Agamar is a barren, rocky planet located in the Agamar system within the Outer Rim Territories of the galaxy in grid coordinates M-5. During the Clone Wars, Separatist General Kalani was ordered by Count Dooku to retreat from Onderon to Agamar following the Separatist defeat on Onderon. In 20 BBY, the third year of the Clone Wars, the planet was under the control of the Confederacy of Independent Systems. Count Dooku ordered General Kalani to retreat to Agamar following his defeat at the Onderonian Civil War to the Onderon rebels. Because of Kalani's override of the droid shutdown signal, an isolated Separatist holdout remained on the planet until well into the era of the Galactic Empire.
Sources: Clone Wars, Rebels
"
Ajan Kloss;171;12065;Mandalorian Space;513;200;Rim;4;"Ajan Kloss (L-5, Mandalorian Space, 0 hyperlane)
Geology: Moon, Humid, Jungle, Forests, Cliffs, Valleys, Grottos, Oceans
Species: Human, Caphex, Cyclorrian, Mohsenian, Mythrol, Reesarian, Shahkirin, Talpiddian, Tarsunt
Economy: -
History: Ajan Kloss was a jungle moon located in the Outer Rim Territories, orbiting the gas giant Ajara. The world was inhabited by a people called the Kloss, who lived in the Klosslands and hollowed-out caves. Prior to the outbreak of the Galactic Civil War, Alderaanian scouts charted Ajan Kloss, which was located in a patchily explored stretch of space off the Celanon Spur. However, the scouts deliberately hid it from the Imperial Senate because it was short-listed as a potential home for a rebel base like Yavin 4 and Dantooine.
Sources: Episode 9
"
Celanon;172;12066;Mandalorian Space;571;205;Rim;26;"Celanon (O-6, Mandalorian Space, 4 hyperlanes)
Geology: Planet, Temperate, Forests, Plains, Urban Sprawl, Oceans
Species: Nalroni (native), Bith, Duro, Human
Economy: Luxury, Bulk, Food
History: Celanon was an important spaceport on the Celanon Spur. It was home to the Astarte line. The Dressellian smuggler Has Obitt was arrested on Celanon for blockade running, but was bailed out by the Galactic Republic.
Sources: SWTOR
"
Concord Dawn;173;12067;Mandalorian Space;561;265;Rim;32;"Concord Dawn (O-7, Mandalorian Space, 0 hyperlane)
Geology: Planet, Deserts, Forests, Jungles, Plains
Species: Human, Devaronian
Economy: -
History: Concord Dawn, a planet with three moons located in the Concord Dawn system within the Mandalore sector, was famous for its elite Mandalorian warriors, and during one of its many wars, much of the planet's southern hemisphere was wiped out, turning into much smaller asteroid chunks. During the Age of the Empire, the Mandalorian Protectors, a group of Mandalorian warriors who once served the ruler of Mandalore before its Imperial occupation, ruled Concord Dawn along with its third moon, where they set up a camp. Led by Fenn Rau, the Protectors aligned themselves with the Empire. 
Sources: Clone Wars, Rebels
"
Corsin;174;12068;Mandalorian Space;537;269;Rim;34;"Corsin (M-7, Mandalorian Space, 3 hyperlanes)
Geology: Planet
Species: Rakata, Human, ...
Economy: Metals, Food
History: The planet remained loyal to the Republic during the Clone Wars. It was later subjugated by the Galactic Empire, which deposed the existing government and replaced it with a New Order regime that dispensed with civil rights and placed the entire population under a police state.
Sources: Atlas
"
Dathomir;175;12069;Mandalorian Space;552;217;Rim;42;"Dathomir (O-6, Mandalorian Space, 0 hyperlane)
Geology: Planet; Temperate, Varied
Species: Dathomirian (native), Fromprath (native), Human, Zabrak, Zeffo, Toydarian
Economy: Ore
History: Dathomir, nicknamed the rancor planet, is a remote, neutral and obscure planet. The Galactic Republic was known to have dropped off it’s prisoners and criminals on the planet. In 600 BBY, the Jedi Allya, was exiled to the planet Dathomir. She taught the women on the planet ways of the Force. Prior to the Clone Wars, OteroaCorp created their twentieth settlement on Dathomir. Oteroa Zero-Twenty was located in a jungle near the Nardithi Cluster. An OteroaCorp ship called the The Oteroan Sky crashed after it was sabotaged by the Nardithi Nightsisters and it crashed into the city, destroying it. During the Clone wars Count Dooku traveled to Dathomir to the Nightsisters' village where he proposed an alliance between his Confederacy of Independent Systems and Talzin's coven. Later General Grievous and his Droid Army would be sent to Dathomir to wipe the Nightsisters out for their attempts on Dooku's life. 
Sources: Clone Wars, Rebels, Star Wars Galaxies, Atlas
"
Ithor;176;11813;Mandalorian Space;523;233;Rim;80;"Ithor (M-6, Mandalorian Space, 2 hyperlanes)
Geology: Planet, Humid, Jungles
Species: Ithorian (native), Bafforr Tree (native), Vesuvague Tree (native), Reek
Economy: Raw Materials, Tech, Botanicals, Food, Medicine, Rare Goods, Spices
History: Ithor is a beautiful forest planet. The inhabitants of the world live in great floating cities. The Ithorians rarely if ever set foot in the forests below their cities and consider these forests sacred. At some point, an Ithorian rebel sympathizer named Momaw Nadon was forced to reveal the secrets of Ithorian agricultural technology to the Galactic Empire to save his homeworld from destruction.
Sources: Atlas"
Mandalore;177;12070;Mandalorian Space;571;247;Rim;104;"Mandalore (O-7, Mandalorian Space, 3 hyperlanes)
Geology: Planet, Storms, Crystals, Glass, Trinitite
Species: Alamite (native), Human
Economy: Raw Materials, Mercenaries, Starships
History: While nominally associated with the Galactic Republic, the Clone Wars saw Mandalore declare neutrality between the Republic and the Confederacy of Independent Systems. However, Death Watch, wishing to return Mandalore to the ways of its ancestors, attempted to take back Mandalore with Separatist assistance. In the later years of the war Death Watch once again attempted to conquer Mandalore. Now allied with former Sith Lord Maul and his collection of crime families, the Shadow Collective. After some strife Maul deposed on the leader of the Deathwatch Pre Vizsla and became Mand'alor. Maul was eventually defeated by another faction of the Death Watch lead by Bo-Katan who allied with the Republic. Though Maul would eventually escape captivity during order 66. With the Republic troops still stationed on Mandalore, the peace did not last long and the Empire besieged the planet. After subduing the world they established a military acadamy on Mandalore. 
Sources: The Mandalorian, Clone Wars, Rebels, Atlas
"
Taris;178;12072;Mandalorian Space;552;242;Rim;167;"Taris (N-7, Mandalorian Space, 0 hyperlane)
Geology: Planet, Temperate, Urban Sprawl
Species: Nekghoul (native), ...
Economy: Food, Raw Materials, Luxury, Tarisian Ale, Tech
History: Taris is a polluted urban planet located in the Outer Rim. At some point in galactic history, Taris suffered from a devastation of some sort, resulting in the surface being littered with ships, many buildings being destroyed, and the atmosphere becoming largely polluted. Although the city ultimately maintained its status as a major urban world, much of its population resorted to living in makeshift homes, many of which were old shipping containers.
Sources: KOTOR 1, SWTOR
"
Vinsoth;179;12073;Mandalorian Space;552;195;Rim;186;"Vinsoth (N-5, Mandalorian Space, 4 hyperlanes)
Geology: Planet, Semi-Tropical, Temperate, Deserts, Grassy Plains, Mountains, Polar Ice Caps
Species: Chev (native), Chevin (native)
Economy: -
History: The Chevin had a skin that could adapt to all three environments. In 3,000,000 BBY, an asteroid collided with the planet, killing most life on its surface, but the remaining survivors evolved into the Chevin. The Chevin were nomadic pastoralists, following herds of the native grazing backshin and keeping their Chev slaves in small farming and manufacturing villages. The planet was composed of seven continents, each ruled by a Chevin dictator who remained stationary, while the rest of the Chevin migrated. During the Clone Wars, Vinsoth was located within Separatist space.
Sources: Atlas"
Ansion;180;11808;Mid Rim North;349;239;Rim;7;"Ansion (I-6, Mid Rim North, 4 hyperlanes)
Geology: Planet, Grassy Plains, Hills, Plateau
Species: Ansionian (native), Gwurran (native), Armalat, Human, Hutt
Economy: Consumer Goods, Tech, Food, R'rüker'at Knives, Textiles
History: Ansion was a planet located in the Mid Rim. A border dispute occurred on Ansion during the Separatist Crisis, which, along with turmoil on the planet Ando, was enough to stagger the galaxy. Shortly after Battle of Yavin, the Galactic Empire prepared a massive attack on Ansion, a civilian target. The Empire suspected the planet's population of harboring Alliance assets or at least Rebel sympathizers. 
Sources: Atlas
"
Borosk;181;11809;Mid Rim North;380;204;Rim;18;"Borosk (K-5, Mid Rim North, 4 hyperlanes)
Geology: Planet
Species: Human
Economy: -
History: Borosk was one of a number of worlds along the frontier of Imperial Space fortified as strongpoints against the New Republic in the last years of the Galactic Civil War. A relatively small world, its defenses included orbiting ion minefields and planetary shields, plus heavy planetary-defense turbolasers and ion cannon batteries. It is located near Yaga Minor.
Sources: -"
Earth;182;11810;Mid Rim North;390;226;Rim;54;"Earth (K-6, Mid Rim North, 0 hyperlane)
Geology: Planet, Oceans, Landmasses
Species: Human (native)
Economy: Tourism
History: Through the Star Tours spaceline, Earth was connected to other worlds such as Coruscant, Kashyyyk, Naboo, Hoth, Geonosis and Tatooine. Around 4.3 ABY, Earth also acted as a hub for flights to Endor, prior to Star Tours being shut down. It was also known as Urthha by some. It was composed of various nation-states, with the Intergalactic Passport being useless as a planetary passport for any of these nation-states.
Sources: [legends]
"
Glee Anselm;183;11811;Mid Rim North;356;257;Rim;71;"Glee Anselm (J-7, Mid Rim North, 2 hyperlanes)
Geology: Planet, Jungle, Grassy Fields, Mountains, Oceans
Species: Anslemi (native), Nautolan (native)
Economy: Tech, Food, Medicine, Water
History: Glee Anselm is an ocean world with no major landmasses. According to legend however, Glee Anselm used to have a continent full of life, until it sank to the seabed thousands of years before the fall of the Galactic Republic. Glee Anselm was one of only forty worlds that continued to send representatives to the Apprentice Legislature prior to the disolution of the Senate. Princess Leia Organa of Alderaan owned a bed made from Glee Anselm hardwoods.
Sources: Clone Wars
"
Iridonia;184;11812;Mid Rim North;377;246;Rim;78;"Iridonia (J-7, Mid Rim Nort, 0 hyperlane)
Geology: Planet, Arid, Acid Pools, Windy Canyons
Species: Zabrak (native)
Economy: Food, Tech, Yarrock
History: Iridonia is the Arid, harsh world that the Zabrak species originates from. Due in part to the harsh environment of their homeworld Zabrak inhabitants quickly began colonizing other worlds, once they had a grasp of space flight and hyperspace travel. Very few other species can tolerate the planet. Iridonia remains mostly rural, though it is home to a few major cities. Iridonia was the homeworld of the Zabrak bounty hunter Sugi.
Sources: Atlas
"
Kaller;185;12116;Mid Rim North;400;197;Rim;86;"Kaller (K-5, Mid Rim North, 0 hyperlane)
Geology: Planet, Temperate, Forests, Mountains
Species: Kalleran (native)
Economy: Rare Minerals, Kallnut Hardwood
History: During the time of the Galactic Republic, Kaller remained an insulated world due largely to the native Kallerans' culture valuing individualism, rather than collective achievement. While Kaller hosted many different groups and species, no offworlders ever held absolute sway over the majority of the planet. Local Kalleran leaders worked behind the scenes to create rivalries between the offworlders that would better serve Kalleran politics. During the Clone Wars, the planet was targeted by the Confederacy of Independent Systems, with Count Dooku himself ordering General Kleeve to lead the conquest. After the general left the world of Kardoa, he oversaw the Separatist occupation of Kaller out of the compound of village leader Gamut Key. In 19 BBY, Jedi Master Depa Billaba and her Padawan Caleb Dume led their battalion of clone troopers against Kleeve's occupation of Kaller. Although Kleeve was forced into a retreat, the Kallerans were resistant to the campaign, seeing little difference between a Republic and Separatist occupation of the planet. After the Battle of Coruscant, Kaller was again a battleground, with Billaba, Dume, and their clones fighting battle droids alongside the elite squad Clone Force 99, which was the only reinforcement that could be sent due to the attack on the capital, Coruscant.
Sources: Clone Wars, Rebels"
Keitum;186;11814;Mid Rim North;358;220;Rim;91;"Keitum (J-6, Mid Rim North, 1 hyperlane)
Geology: Planet
Species: -
Economy: -
History: A planet in the mid rim. The City of Catherston is located on the planet.
Sources: Rebels
"
Mygeeto;187;11815;Mid Rim North;391;180;Rim;115;"Mygeeto (K-5, Mid Rim North, 2 hyperlanes)
Geology: Planet, Frozen, Frigid, Crystalline
Species: Lurmen (native), Muun
Economy: Food, Tech, Crystals
History: Controlled by the InterGalactic Banking Clan and the Confederacy of Independent Systems. During the Clone Wars, the Republic began what would come to be a three-year long campaign on the world. The Third and Fourth Battles of Mygeeto would be the largest. After the Clone Wars, Mygeeto fell under the control of the Galactic Empire but remains a base of the Banking Clan.
Sources: Episode 3, Rebels, Atlas"
Ord Mantell;188;11816;Mid Rim North;406;253;Rim;127;"Ord Mantell (L-7, Mid Rim North, 3 hyperlanes)
Geology: Planet, Temperate, Plains, Jungles, Seas, Mesas, Volcanic Islands, Urban
Species: Mantellian Savrip (native), ...
Economy: Food, Raw Materials, Tech, Manufactured Goods
History: Ord Mantell was colonized by settlers from the Core World planet Corellia during the middle era of the Galactic Republic's expansion. As the Republic grew in territory size, the planet's strategic significance was lost, but civilian cargo trade began to grow due to the presence of a military-grade shipyard and drydocks. rd Mantell became notable as a trading post for spacers who traveled west of the Hydian Way super-hyperroute. As the population grew, an increasing percentage of the arriving settlers began to include less savory visitors, such as tax evaders, smugglers, and those working on the black market. By the time of the Clone Wars, Ord Mantell became home to a large base for the Black Sun crime syndicate. Nevertheless, in the years following the Battle of Geonosis, the planet housed a storage facility, barracks, and fleet support base for the Republic's Grand Army and Navy. Additionally, Ord Mantell served as the headquarters for the Republic's 8th Sector Army. All of this served to define Ord Mantell as an important planet for the Republic.
Sources: Clone Wars, SWG, SWTOR
"
Yaga Minor;189;11817;Mid Rim North;371;185;Rim;192;"Yaga Minor (K-5, Mid Rim North, 2 hyperlanes)
Geology: Planet, Temperate, Caves, Forests, Mountains
Species: Yagai (native), Human
Economy: Refined Metals, Starship Drive Units
History: An industrialized world in the outer rim. The planet is home to a large shipyard along side several other industrial operations. In 14 BBY, members of the Free Ryloth Movement rebel cell, led by the Twi'lek Pok, hijacked an Imperial weapons shipment at the Yaga Minor shipyards and fled into hyperspace. Darth Vader pursued them and slaughtered Pok and his crew.
Sources: -"
D'Qar;190;11890;Mid Rim South;536;680;Core;49;"D'Qar (O-17, Mid Rim South, 0 hyperlane)
Geology: Planet, Temperate, Jungle, Plains, Forest Canopies
Species: -
Economy: -
History: D'Qar is a verdant world in the outer rim. It was once home to a civilization that has since disappeared, leaving behind ruins. D'Qar also served as a shadow planet and deep space cache for the Alliance to Restore the Republic.
Sources: Episode 7, Episode 8, Battlefront 2
"
Farstine;191;11891;Mid Rim South;555;669;Core;61;"Farstine (P-17, Mid Rim South, 3 hyperlanes)
Geology: Planet, Methane Atmosphere
Species: -
Economy: -
History: Farstine was a planet within the Farstine system, situated in the Mid Rim's Ryndellian sector. The planet was located on two major hyperlanes: the Five Veils Route, which connected the Mid Rim to the Svivreni and Skine sectors in the Outer Rim Territories, and the Triellus Trade Route, which spanned a large section of the Outer Rim within the Slice. Farstine possessed a methane atmosphere, requiring oxygen-breathing species to use breath masks for survival on the surface. Relatively untouched by galactic events, a battle was fought at Farstine in 19 BBY between Separatist holdout forces commanded by Trade Federation Customs Vizier Marath Vooro, and an Imperial fleet headed by the Imperial officer Octavian Grant. The planet was known to be one of the spice trade's major transshipment hubs, and was under Imperial occupation at some point during the Galactic Civil War.
Sources: Atlas"
Ghorman;192;12051;Mid Rim South;497;611;Rim;70;"Ghorman (L-13, Mid Rim South, 2 hyperlanes)
Geology: Planet
Species: Human
Economy: -
History: Ghorman is a planet located in the galaxy's Colonies region along the Rimma Trade Route. In the 14th year of Imerpal rule, the Galactic Empire cut off Ghorman's shipping lanes, which Imperial senator Mon Mothma feared would lead to famine. 3 years later the Empire carried out one of its worst atrocities on Ghorman, The Ghorman Massacre, in which troops of the Galactic Empire slaughtered peaceful protesters. Following the massacre, Senator Mon Mothma of Chandrila publicly blamed Emperor Sheev Palpatine for the attacks on Ghorman's inhabitants, prompting the Empire to attempt to capture her.
Sources: Andor, Rebels
"
Malastare;193;11892;Mid Rim South;516;652;Core;102;"Malastare (N-16, Mid Rim South, 2 hyperlanes)
Geology: Planet, Temperate, Forests, Rocky
Species: Dug (native), Gran, Human
Economy: Pixelito, Malastarian Fuel
History: Ainlee Teem, the senator of Malastare, was nominated in the election for Supreme Chancellor during the Invasion of Naboo. During the Clone Wars, Malastare was the location of a battle between the Galactic Republic and the Confederacy of Independent Systems over the planet's fuel reserves. The battle awoke a creature known as the Zillo Beast, which the Republic successfully neutralized, leading the Dug Council to sign a treaty with the Republic allowing them access to their fuel reserves.
Sources: Clone Wars, Atlas
"
